,NOME_PRODUTO,PRINCIPIO_ATIVO,CLASSE_TERAPEUTICA,CATEGORIA_REGULATORIA
796,Benzoilmetronidazol,BENZOILMETRONIDAZOL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",GENÉRICO
797,Benzol,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,SIMILAR
798,Benzotop,BENZOCAÍNA,ANESTESICOS LOCAIS,SIMILAR
799,Bepantriz,DEXPANTENOL,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,ESPECÍFICO
800,Bepeben,PENICILINA G BENZATINA,PENICILINA G E DERIVADOS (BENZILPENICILINAS),SIMILAR
801,Bequidex,CLORIDRATO DE BROMEXINA,EXPECTORANTES BALSAMICOS E MUCOLITICO,
802,Berberis-Homaccord,BERBERIS VULGARIS L. +  CITRULLUS COLOCYNTHIS +  VERATRUM ALBUM,MEDICAMENTOS DINAMIZADOS COMPOSTOS,DINAMIZADO
803,Bergox,CABERGOLINA,OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES,SIMILAR
804,Beriate P,FATOR VIII DE COAGULAÇÃO,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,SIMILAR
805,Beribumin,ALBUMINA HUMANA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,BIOLÓGICO
806,Beriplast P,APROTININA +  FIBRINOGÊNIO +  TROMBINA +  FATOR XIII,PRODUTOS PARA USO EM CIRURGIA,SIMILAR
807,Beriplex P/N,FATOR II DE COAGULAÇÃO +  FATOR IX DE COAGULAÇÃO +  FATOR VII DE COAGULAÇÃO +  FATOR X DE COAGULAÇÃO  +  PROTEÍNA C +  PROTEÍNA S,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,BIOLÓGICO
808,Beritin   Bc,CLORIDRATO DE CIPROEPTADINA +  CLORIDRATO DE PIRIDOXINA +  CLORIDRATO DE TIAMINA +  NICOTINAMIDA +  FOSFATO SÓDICO DE RIBOFLAVINA +  ÁCIDO ASCÓRBICO,ESTIMULANTES DO APETITE,SIMILAR
809,Berk,ACETATO DE CASPOFUNGINA,ANTI-FUNGICOS,SIMILAR
810,Berotec,BROMIDRATO DE FENOTEROL,BRONCODILATADORES,NOVO
811,Beserol,CAFEÍNA +  CARISOPRODOL +  DICLOFENACO SÓDICO +  PARACETAMOL,ANTINFLAMATORIOS,SIMILAR
812,Besilapin,BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS SIMPLES,SIMILAR
813,Besilato De Amlodipina,,ANTI-HIPERTENSIVOS,SIMILAR
814,Besilato De Anlodipino,BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS SIMPLES,GENÉRICO
815,Besilato De Anlodipino,BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS SIMPLES,GENÉRICO
816,Besilato De Anlodipino,BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS SIMPLES,GENÉRICO
817,Besilato De Anlodipino,BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS SIMPLES,GENÉRICO
818,Besilato De Anlodipino,BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS SIMPLES,GENÉRICO
819,Besilato De Anlodipino,BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS SIMPLES,GENÉRICO
820,Besilato De Anlodipino,BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS SIMPLES,GENÉRICO
821,Besilato De Anlodipino,BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS SIMPLES,GENÉRICO
822,Besilato De Anlodipino,BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS,GENÉRICO
823,Besilato De Anlodipino,BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS SIMPLES,GENÉRICO
824,Besilato De Anlodipino,BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS SIMPLES,GENÉRICO
825,Besilato De Anlodipino + Losartana Potássica,BESILATO DE ANLODIPINO +  LOSARTANA POTÁSSICA,ANTI-HIPERTENSIVOS,GENÉRICO
826,Besilato De Anlodipino + Losartana Potássica,BESILATO DE ANLODIPINO +  LOSARTANA POTÁSSICA,ANTI-HIPERTENSIVOS,GENÉRICO
827,Besomed,CALCAREA CARBONICA +  FUCUS VESICULOSUS L. +  THYROIDINUM,MEDICAMENTOS DINAMIZADOS COMPOSTOS,DINAMIZADO
828,Beta-Long,ACETATO DE BETAMETASONA +  FOSFATO DISSÓDICO DE BETAMETASONA,GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
829,Betacare,IODOPOVIDONA,ANTISSEPTICO,ESPECÍFICO
830,Betacortazol,BETAMETASONA +  CETOCONAZOL +  SULFATO DE NEOMICINA,ANTIMICOTICOS PARA USO TOPICO,SIMILAR
831,Betacris,TARTARATO DE METOPROLOL,BETABLOQUEADORES SIMPLES,SIMILAR
832,Betadine,DICLORIDRATO DE BETAISTINA,ANTIVERTIGINOSOS,SIMILAR
833,Betadine Xr,DICLORIDRATO DE BETAISTINA,VASODILATADORES,NOVO
834,Betafact,FATOR IX DE COAGULAÇÃO,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,BIOLÓGICO
835,Betaferon,BETAINTERFERONA 1B,IMUNOMODULADOR,BIOLÓGICO
836,Betalor,ATENOLOL +  BESILATO DE ANLODIPINO,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,NOVO
837,Betametasona,BETAMETASONA,GLICOCORTICOIDES SISTEMICOS,GENÉRICO
838,Betametasona,BETAMETASONA,GLICOCORTICOIDES SISTEMICOS,GENÉRICO
839,Betametasona,BETAMETASONA,GLICOCORTICOIDES SISTEMICOS,GENÉRICO
840,Betametasona,BETAMETASONA,GLICOCORTICOIDES SISTEMICOS,GENÉRICO
841,Betametasona,BETAMETASONA,GLICOCORTICOIDES SISTEMICOS,GENÉRICO
842,Betametasona,BETAMETASONA,GLICOCORTICOIDES SISTEMICOS,GENÉRICO
843,Betaprospan,DIPROPIONATO DE BETAMETASONA +  FOSFATO DISSÓDICO DE BETAMETASONA,GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
844,Betaserc,DICLORIDRATO DE BETAISTINA,VASODILATADORES,NOVO
845,Betatrinta,DIPROPIONATO DE BETAMETASONA +  FOSFATO DISSÓDICO DE BETAMETASONA,GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
846,Beteglid,GLICLAZIDA,ANTIDIABETICOS,SIMILAR
847,Betes,GLIMEPIRIDA,ANTIDIABETICOS,SIMILAR
848,Betina,DICLORIDRATO DE BETAISTINA,ANTIVERTIGINOSOS,SIMILAR
849,Betnelan,BETAMETASONA ÁLCOOL MICRONIZADA,GLICOCORTICOIDES SISTEMICOS,
850,Betnovate,VALERATO DE BETAMETASONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,NOVO
851,Betnovate N,BETAMETASONA +  SULFATO DE NEOMICINA,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,NOVO
852,Betoptic,CLORIDRATO DE BETAXOLOL,ANTIGLAUCOMATOSOS,NOVO
853,Betrat,CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  NITRATO DE TIAMINA,PRODUTOS A BASE DE VIT  B 12-ASSOCIACOES MEDICAMENTOSAS,ESPECÍFICO
854,Betricort,CETOCONAZOL +  DIPROPIONATO DE BETAMETASONA +  SULFATO DE NEOMICINA,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,SIMILAR
855,Betrix,CETOCONAZOL +  DIPROPIONATO DE BETAMETASONA,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,SIMILAR
856,Bevespi Aerosphere®,BROMETO DE GLICOPIRRÔNIO +  FUMARATO DE FORMOTEROL DI-HIDRATADO,"ADRENÉRGICOS, PARA INALAÇÃO",NOVO
857,Bexai,DICLOFENACO,ANTINFLAMATORIOS ANTIREUMATICOS,NOVO
858,Bexeton,DEXAMETASONA,GLICOCORTICOIDES SISTEMICOS,SIMILAR
859,Bextra Im/Iv,PARECOXIBE SÓDICO,ANTINFLAMATORIOS,NOVO
860,Bezafibrato,BEZAFIBRATO,ANTILIPEMICOS,GENÉRICO
861,Bhena,CLORIDRATO DE BENAZEPRIL,ANTI-HIPERTENSIVOS SIMPLES,SIMILAR
862,Bialerge,CLORIDRATO DE FENILEFRINA +  MALEATO DE BRONFENIRAMINA,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,SIMILAR
863,Bialu,CLORIDRATO DE CIPROFLOXACINO ,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO,SIMILAR
864,Bialudex,DEXAMETASONA +  CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO,SIMILAR
865,Biancort,DEXAMETASONA +  CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO,SIMILAR
866,Bibag,BICARBONATO DE SÓDIO,PRODUTOS PARA DIALISE,ESPECÍFICO
867,Bicalutamida,BICALUTAMIDA,ANTINEOPLASICO,GENÉRICO
868,Bicarbonato De Sódio,BICARBONATO DE SÓDIO,MEDICACAO PARA TRATAMENTO DA ACIDOSE METABOLICA,ESPECÍFICO
869,Bicarbonato De Sódio,BICARBONATO DE SÓDIO,MEDICACAO PARA TRATAMENTO DA ACIDOSE METABOLICA + PRODUTOS PARA TERAPIA DE INTOXICACOES,ESPECÍFICO
870,Bicarbonato De Sódio - Farmace,BICARBONATO DE SÓDIO,MEDICACAO PARA TRATAMENTO DA ACIDOSE METABOLICA,ESPECÍFICO
871,"Bicarbonato De Sódio 8,4 %",BICARBONATO DE SÓDIO,CONCENTRADOS PARA HEMODIÁLISE,ESPECÍFICO
872,Bicerto,CETOPROFENO,ANTIINFLAMATÓRIOS E ANTIREUMÁTICOS,GENÉRICO
873,Bicerto Iv,CETOPROFENO,ANTIINFLAMATÓRIOS E ANTIREUMÁTICOS,NOVO
874,Biconcor,HIDROCLOROTIAZIDA +  HEMIFUMARATO DE BISOPROLOL,DIURETICOS ASSOCIADOS A BETABLOQUEADORES,NOVO
875,Bienn Direct,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO +  CLORIDRATO DE ONDANSETRONA,ANTIEMETICOS E ANTINAUSEANTES,SIMILAR
876,Biktarvy,BICTEGRAVIR SÓDICO +  HEMIFUMARATO DE TENOFOVIR ALAFENAMIDA +  ENTRICITABINA,ANTIINFECCIOSOS PARA USO SISTÊMICO + ANTIVIRAIS DE AÇÃO DIRETA + ANTIVIRAIS PARA USO SISTÊMICO + ASSO,NOVO
877,Bilyt,CARBONATO DE LÍTIO,ANTIDEPRESSIVOS,SIMILAR
878,Bimagan,BIMATOPROSTA,ANTIGLAUCOMATOSOS,SIMILAR
879,Bimaprost,BIMATOPROSTA,ANTIGLAUCOMATOSOS,SIMILAR
880,Bimatoprosta,BIMATOPROSTA,ANTIGLAUCOMATOSOS,GENÉRICO
881,Bimatoprosta,BIMATOPROSTA,ANTIGLAUCOMATOSOS,GENÉRICO
882,Bimony,TARTARATO DE BRIMONIDINA,ANTIGLAUCOMATOSOS,SIMILAR
883,Binav,ENTRICITABINA +  FUMARATO DE TENOFOVIR DESOPROXILA,ANTIRETROVIRAL,SIMILAR
884,Binospan Composto,BUTIL BROMETO DE ESCOPOLAMINA +  DIPIRONA,ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS,SIMILAR
885,Bio - Vagin,BENZOILMETRONIDAZOL +  CLORETO DE BENZALCÔNIO +  NISTATINA,PRODS  GINECOLOGICOS ANTINFECC  TOPICOS ASSOC  MEDICAMENTOSAS,SIMILAR
886,Bio E,VITAMINA E,VITAMINAS E SUPLEMENTOS MINERAIS,ESPECÍFICO
887,Bio Manguinhos Infliximabe,INFLIXIMABE,ANTINFLAMATORIOS,BIOLÓGICO
888,Bio-C,ÁCIDO ASCÓRBICO,MONOVITAMINAS EXCETO VITAMINA K,ESPECÍFICO
889,Bio-Manguinhos Alfataliglicerase,ALFATALIGLICERASE,ENZIMA PARA REPOSIÇAO,BIOLÓGICO
890,Bio-Manguinhos Betainterferona 1A,BETAINTERFERONA 1A,IMUNOMODULADOR,BIOLÓGICO
891,Bio-Manguinhos Etanercepte,ETANERCEPTE,ANTINFLAMATORIOS,BIOLÓGICO
892,Bio-Manguinhos Golimumabe,GOLIMUMABE,ANTINFLAMATORIOS,BIOLÓGICO
893,Bio-Manguinhos Rituximabe,RITUXIMABE,AGENTES ANTINEOPLÁSICOS + ANTICORPOS MONOCLONAIS + RITUXIMABE,BIOLÓGICO
894,Bio-Manguinhos Somatropina,SOMATROPINA,HORMONIO RECOMBINANTE DO CRESCIMENTO HUMANO,BIOLÓGICO
895,Bio-Manguinhos Trastuzumabe,TRASTUZUMABE,AGENTES ANTINEOPLÁSICOS + ANTICORPOS MONOCLONAIS,BIOLÓGICO
896,Bioezulen,OXALIPLATINA,CITOSTATICOS ALQUILANTES,SIMILAR
897,Biofenac,DICLOFENACO DIETILAMÔNIO +  DICLOFENACO SÓDICO +  DICLOFENACO ÁCIDO,ANTINFLAMATORIOS,SIMILAR
898,Bioflac,MELOXICAM,ANTINFLAMATORIOS,SIMILAR
899,Biofladex,DICLOFENACO DIETILAMÔNIO,ANTINFLAMATORIOS,SIMILAR
900,Bioflan,HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.,AGENTES ANTI-INFLAMATÓRIOS + FITOTERAPICO SIMPLES,FITOTERÁPICO
901,Biofor C,ASPARTATO DE ARGININA +  ÁCIDO ASCÓRBICO,NEUROTONICO,ESPECÍFICO
902,Biofortônico,CLORIDRATO DE PIRIDOXINA +  NICOTINAMIDA +  SULFATO FERROSO HEPTAIDRATADO,ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS,ESPECÍFICO
903,Bioginkgo Bionatus,GINKGO BILOBA L.,VASODILATADORES CEREBRAIS,FITOTERÁPICO
904,Biogripe,CLORIDRATO DE FENILEFRINA +  MALEATO DE CLORFENIRAMINA +  PARACETAMOL,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,SIMILAR
905,Biogripe,CLORIDRATO DE FENILEFRINA +  MALEATO DE CARBINOXAMINA +  PARACETAMOL,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,SIMILAR
906,Biohepaton,PEUMUS BOLDUS MOLINA,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,FITOTERÁPICO
907,Biomag,CLORIDRATO DE SIBUTRAMINA,ANOREXICOS SIMPLES,SIMILAR
908,Biomatrop,SOMATROPINA,HORMONIO RECOMBINANTE DO CRESCIMENTO HUMANO,BIOLÓGICO
909,Bioseng,PANAX GINSENG C. A. MEY.,PSICOANALETICOS,FITOTERÁPICO
910,Biostate,FATOR VIII DE COAGULAÇÃO +  FATOR DE VON WILLEBRAND,DERIVADOS DO SANGUE E SUBSTITUTOS,BIOLÓGICO
911,Biotifeno,DICLOFENACO DIETILAMÔNIO +  DICLOFENACO SÓDICO +  DICLOFENACO ÁCIDO,ANTINFLAMATORIOS,SIMILAR
912,Biotoss,MIKANIA GLOMERATA SPRENG.,EXPECTORANTES,FITOTERÁPICO
913,Biovicerin,BACILLUS CEREUS,OUTROS COADJUVANTES DO TRATAMENTO DA DIARREIA,BIOLÓGICO
914,Biovir,LAMIVUDINA +  ZIDOVUDINA,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),NOVO
915,Biovita Zinco,SULFATO DE ZINCO MONOIDRATADO +  ÁCIDO ASCÓRBICO,POLIVITAMINICOS COM MINERAIS,ESPECÍFICO
916,Biphozyl,BICARBONATO DE SÓDIO +  CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO +  FOSFATO DE SÓDIO DIBÁSICO DI-HIDRATADO,PRODUTOS PARA HEMODIALISE,ESPECÍFICO
917,Biproslam,DIPROPIONATO DE BETAMETASONA +  FOSFATO DISSÓDICO DE BETAMETASONA,GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
918,Biquiz,ARIPIPRAZOL,ANTIPSICOTICOS,SIMILAR
919,Bisalax,BISACODIL,LAXANTES,SIMILAR
920,Bismu-Jet,CLORIDRATO DE PROCAÍNA +  SULFATO DE NEOMICINA +  TARTARATO DE BISMUTO E SÓDIO,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE,NOVO
921,Bisolphar,CLORIDRATO DE BROMEXINA,EXPECTORANTES BALSAMICOS E MUCOLITICO,SIMILAR
922,Bisolvon,CLORIDRATO DE BROMEXINA,EXPECTORANTES,NOVO
923,Bisopro-Gran,HEMIFUMARATO DE BISOPROLOL,BETABLOQUEADORES SIMPLES,SIMILAR
924,Bissulfato De Clopidogrel,BISSULFATO DE CLOPIDOGREL,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,GENÉRICO
925,Bissulfato De Clopidogrel,BISSULFATO DE CLOPIDOGREL,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,GENÉRICO
926,Bissulfato De Clopidogrel,BISSULFATO DE CLOPIDOGREL,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,GENÉRICO
927,Bissulfato De Clopidogrel,BISSULFATO DE CLOPIDOGREL,OUTROS PRODUTOS COM ACAO NO APARELHO CARDIOVASCULAR,GENÉRICO
928,Bissulfato De Clopidogrel,BISSULFATO DE CLOPIDOGREL,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,GENÉRICO
929,Bissulfato De Clopidogrel,BISSULFATO DE CLOPIDOGREL,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,GENÉRICO
930,Bissulfato De Clopidogrel,BISSULFATO DE CLOPIDOGREL,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,GENÉRICO
931,Bissulfato De Clopidogrel,BISSULFATO DE CLOPIDOGREL,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,GENÉRICO
932,Bisuran,CLORIDRATO DE BROMEXINA,EXPECTORANTES SIMPLES,SIMILAR
933,Bivolet,CLORIDRATO DE NEBIVOLOL,ANTI-HIPERTENSIVOS,SIMILAR
934,Blaubimax,ALBUMINA HUMANA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,BIOLÓGICO
935,Blauimuno,IMUNOGLOBULINA HUMANA ,IMUNOGLOBULINAS,BIOLÓGICO
936,Blaztere,ÁCIDO ZOLEDRÔNICO,SUPRESSORES DA REABSORCAO OSSEA,NOVO
937,Bleu Patente V,SAL SÓDICO,CONTRASTES RADIOLOGICOS,SIMILAR
938,Blincyto,BLINATUMOMABE,ANTINEOPLASICO,BIOLÓGICO
939,Blumel Hedera,HEDERA HELIX L.,EXPECTORANTES SIMPLES,FITOTERÁPICO
940,Boldine,PEUMUS BOLDUS MOLINA,COLAGOGOS E COLERETICOS,FITOTERÁPICO
941,Boldo Belfar,PEUMUS BOLDUS MOLINA,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,FITOTERÁPICO
942,Boldo Klein,PEUMUS BOLDUS MOLINA,COLAGOGOS E COLERETICOS,FITOTERÁPICO
943,Bolt Caps,SULFATO DE CONDROITINA +  SULFATO DE GLICOSAMINA,OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO,BIOLÓGICO
944,Bonagran,ALENDRONATO DE SÓDIO TRI-HIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,SIMILAR
945,Bonar,SULFATO DE BLEOMICINA,ANTIBIOTICOS ANTINEOPLASICOS,SIMILAR
946,Bonecal D,COLECALCIFEROL +  FOSFATO DE CÁLCIO TRIBÁSICO,VITAMINAS E SUPLEMENTOS MINERAIS,ESPECÍFICO
947,Boneprev,ALENDRONATO DE SÓDIO,SUPRESSORES DA REABSORCAO OSSEA,SIMILAR
948,Bonviva,IBANDRONATO DE SÓDIO MONOIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,NOVO
949,Bormib,BORTEZOMIBE,ANTINEOPLASICOS CITOTOXICOS,SIMILAR
950,Bortezomibe,BORTEZOMIBE,ANTINEOPLASICOS CITOTOXICOS,GENÉRICO
951,Bortezomibe,BORTEZOMIBE,ANTINEOPLASICOS CITOTOXICOS,GENÉRICO
952,Bortezomibe,BORTEZOMIBE,ANTINEOPLASICOS CITOTOXICOS,GENÉRICO
953,Bortyz,BORTEZOMIBE,ANTINEOPLASICOS CITOTOXICOS,SIMILAR
954,Bosentana,BOSENTANA MONOIDRATADA,ANTI-HIPERTENSIVOS,GENÉRICO
955,Botox,TOXINA BOTULÍNICA A,AGENTE PARALISANTE NEUROMUSCULAR,NOVO
956,Botulift,TOXINA BOTULÍNICA A,AGENTE PARALISANTE NEUROMUSCULAR,BIOLÓGICO
957,Botulim,TOXINA BOTULÍNICA A,AGENTE PARALISANTE NEUROMUSCULAR,BIOLÓGICO
958,Bozored,BORTEZOMIBE,ANTINEOPLASICOS CITOTOXICOS,SIMILAR
959,Braftovi,ENCORAFENIBE,INIBIDORES DA PROTEÍNA QUINASE ,NOVO
960,Bramicar,TELMISARTANA,ANTI-HIPERTENSIVOS,SIMILAR
961,Bramitob,TOBRAMICINA,AMINOGLICOSIDEOS,NOVO
962,Branta,BESILATO DE ANLODIPINO +  LOSARTANA POTÁSSICA,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,NOVO
963,Brasart,VALSARTANA,ANTI-HIPERTENSIVOS SIMPLES,SIMILAR
964,Brasart Bcc,BESILATO DE ANLODIPINO +  VALSARTANA,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
965,Brasart Hct,HIDROCLOROTIAZIDA +  VALSARTANA,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
966,Bravan,VALSARTANA,ANTI-HIPERTENSIVOS SIMPLES,SIMILAR
967,Bravan Duo,BESILATO DE ANLODIPINO +  VALSARTANA,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
968,Bravan Hct,HIDROCLOROTIAZIDA +  VALSARTANA,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
969,Bravitan,ÁCIDO FÓLICO,ANTIANEMICOS,ESPECÍFICO
970,Brecila,CLORIDRATO DE EPIRRUBICINA,ANTIBIOTICOS ANTINEOPLASICOS,SIMILAR
971,Breelet,LETROZOL,ANTINEOPLASICO,SIMILAR
972,Brevibloc,CLORIDRATO DE ESMOLOL,BETABLOQUEADORES SIMPLES,SIMILAR
973,Brevibloc Diluído,CLORIDRATO DE ESMOLOL,BETABLOQUEADORES SIMPLES,NOVO
974,Brexin,PIROXICAM BETACICLODEXTRINA,ANALGESICOS NAO NARCOTICOS,SIMILAR
975,Bridion,SUGAMADEX SÓDICO,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,NOVO
976,Brilinta,TICAGRELOR,ANTIAGREGANTE PLAQUETARIO,NOVO
977,Briliv,HEDERA HELIX L.,EXPECTORANTES + FITOTERAPICO SIMPLES,FITOTERÁPICO
978,Brineura,ALFACERLIPONASE,ENZIMA PARA REPOSIÇAO,BIOLÓGICO
979,Brintellix,BROMIDRATO DE VORTIOXETINA,ANTIDEPRESSIVOS,NOVO
980,Britens,MALEATO DE TIMOLOL +  TARTARATO DE BRIMONIDINA,ANTIGLAUCOMATOSOS,SIMILAR
981,Bromazepam,BROMAZEPAM,ANSIOLITICOS SIMPLES,GENÉRICO
982,Bromazepam,BROMAZEPAM,ANSIOLITICOS SIMPLES,GENÉRICO
983,Bromazepam,BROMAZEPAM,ANSIOLITICOS SIMPLES,GENÉRICO
984,Bromazepam,BROMAZEPAM,ANSIOLITICOS SIMPLES,GENÉRICO
985,Bromazepam,BROMAZEPAM,ANSIOLITICOS SIMPLES,GENÉRICO
986,Bromazepam (Portaria 344/98 - Lista B1),BROMAZEPAM,ANSIOLITICOS SIMPLES,GENÉRICO
987,Bromelin,ANANAS COMOSUS (L.) MERR.,EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES,FITOTERÁPICO
988,Brometo De  N-Butil Escopolamina + Dipirona Sodica,BUTILBROMETO DE ESCOPOLAMINA +  DIPIRONA,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,GENÉRICO
989,Brometo De Ipratropio,BROMETO DE IPRATRÓPIO,BRONCODILATADORES,GENÉRICO
990,Brometo De Ipratropio,BROMETO DE IPRATRÓPIO,BRONCODILATADORES,GENÉRICO
991,Brometo De Ipratrópio,BROMETO DE IPRATRÓPIO,BRONCODILATADORES,GENÉRICO
992,Brometo De Ipratrópio,BROMETO DE IPRATRÓPIO,BRONCODILATADORES,GENÉRICO
993,Brometo De Ipratrópio,BROMETO DE IPRATRÓPIO,BRONCODILATADORES,GENÉRICO
994,Brometo De Ipratrópio,BROMETO DE IPRATRÓPIO,BRONCODILATADORES,GENÉRICO
995,Brometo De N-Butilescopolamina + Dipirona,BUTILBROMETO DE ESCOPOLAMINA +  DIPIRONA,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,GENÉRICO
996,Brometo De Pinaverio,BROMETO DE PINAVÉRIO,ANTIESPASMODICOS,GENÉRICO
997,Brometo De Pinavério,BROMETO DE PINAVÉRIO,ANTIESPASMODICOS,GENÉRICO
998,Brometo De Pinavério,BROMETO DE PINAVÉRIO,ANTIESPASMODICOS,GENÉRICO
999,Brometo De Pipecuronio,,BLOQUEADOR NEUROMUSCULAR,NOVO
1000,Bromexpec,CLORIDRATO DE BROMEXINA,EXPECTORANTES,SIMILAR
1001,Bromidrato De Citalopram,BROMIDRATO DE CITALOPRAM,ANTIDEPRESSIVOS,GENÉRICO
1002,Bromidrato De Citalopram,BROMIDRATO DE CITALOPRAM,ANTIDEPRESSIVOS,GENÉRICO
1003,Bromidrato De Citalopram,BROMIDRATO DE CITALOPRAM,ANTIDEPRESSIVOS,GENÉRICO
1004,Bromidrato De Darifenacina,BROMIDRATO DE DARIFENACINA,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,GENÉRICO
1005,Bromidrato De Fenoterol,BROMIDRATO DE FENOTEROL,BRONCODILATADORES,GENÉRICO
1006,Bromidrato De Fenoterol,BROMIDRATO DE FENOTEROL,BRONCODILATADORES,GENÉRICO
1007,Bromidrato De Galantamina,BROMIDRATO DE GALANTAMINA,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,GENÉRICO
1008,Bromidrato De Galantamina,BROMIDRATO DE GALANTAMINA,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,GENÉRICO
1009,Bromidrato De Galantamina,BROMIDRATO DE GALANTAMINA,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,GENÉRICO
1010,Bromidrato De Galantamina,BROMIDRATO DE GALANTAMINA,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,GENÉRICO
1011,Bromidrato De Galantamina,BROMIDRATO DE GALANTAMINA,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,GENÉRICO
1012,Bromifen,BROMIDRATO DE FENOTEROL,ANTIASMATICOS,SIMILAR
